"","postgresID","SessionDateTime","final_role","Email","Organization","Attended","DisciplinesRepresented","OrgType","city","state","latitude","longitude","community_area"
"1","168","05/11/2020 - 4PM","Teacher","c75845fc","47e41ab6","Y","Dance","School","Chicago","IL",42.01645,-87.685,"Loop"
"2","17","4/30/2020 - 9AM","Teaching Artist","7562d238","f49293a3","Y","Multi-disciplinary","School","Chicago","IL",41.93963,-87.74102,"West Town"
"3","191","5/04/2020 - 2PM","Teacher","d1193792","e3f144e0","N",NA,"School","Chicago","IL",41.8074,-87.74017,"Brighton Park"
"4","204","4/16/2020 - 12PM","Teaching Artist","da6deace","c0119cbc","N",NA,"School","Chicago","IL",41.79596,-87.62632,"Edgewater"
"5","204","5/06/2020 - 3PM","Teaching Artist","da6deace","a63be41f","Y",NA,"School","Chicago","IL",41.87707,-87.70507,"Edgewater"
"6","204","4/30/2020 - 9AM","Teaching Artist","da6deace","a63be41f","N",NA,"School","Chicago","IL",41.93746,-87.72677,"Edgewater"
"7","204","4/30/2020 - 9AM","Teacher","c98c31cf","a63be41f","N","Theatre","School","Chicago","IL",41.9662,-87.72182,"Edgewater"
"8","204","05/07/2020 - 4PM","Teacher","5f6b4519","96e938e9","Y","Theatre","School","Chicago","IL",41.88252,-87.76543,"Edgewater"
"9","204","05/07/2020 - 4PM","Teacher","c98c31cf","96e938e9","Y","Theatre","School","Chicago","IL",41.89947,-87.69484,"Edgewater"
"10","204","05/20/2020 - 9AM","CPS Administrator","6d89ecab","96e938e9","Y",NA,"School","Chicago","IL",41.74293,-87.58766,"Edgewater"
"11","204","05/06/2020 - 9AM","CPS Administrator","6d89ecab","91238f6b","Y",NA,"School","Chicago","IL",41.79426,-87.67005,"Edgewater"
"12","204","05/11/2020 - 4PM","Teacher","c98c31cf","96e938e9","N","Theatre","School","Chicago","IL",41.71997,-87.65693,"Edgewater"
"13","204","05/11/2020 - 4PM","Teacher","95634cbc","96e938e9","Y","Music","School","Chicago","IL",41.95074,-87.71073,"Edgewater"
"14","211","05/07/2020 - 4PM","Teacher","f020f1d9","fcf08c45","Y","Music","School","Chicago","IL",41.68446,-87.61678,"Lincoln Park"
"15","220","05/07/2020 - 4PM","Teacher","ef85ed02","0e1f327c","Y","Music","School","Chicago","IL",41.78378,-87.62201,"North Park"
"16","222","05/07/2020 - 4PM","Teacher","0247cfdb","2b515aad","N","Theatre","School","Chicago","IL",41.92163,-87.77649,"Kenwood"
"17","226","05/11/2020 - 4PM","Teacher","59fc903b","bbd3bfc6","Y","Dance","School","Chicago","IL",41.74522,-87.69314,"Archer Heights"
"18","226","05/11/2020 - 4PM","Teacher","823ec67e","bbd3bfc6","Y","Dance","School","Chicago","IL",41.74814,-87.66896,"Archer Heights"
"19","262","5/04/2020 - 2PM","Teacher","0a7dcb6a","f93b9a24","N",NA,"School","Chicago","IL",41.72038,-87.6559,"West Ridge"
"20","262","05/11/2020 - 4PM","Teacher","0a7dcb6a","c3c63846","N","Visual Arts","School","Chicago","IL",42.01352,-87.67518,"West Ridge"
"21","262","05/11/2020 - 4PM","Teacher","b8406834","c3c63846","Y","Music","School","Chicago","IL",41.88083,-87.65002,"West Ridge"
