"","Organization","enrollment","demo"
"1","f49293a3",287,"reduced_lunch"
"2","f49293a3",216,"hispanic"
"3","f49293a3",207,"black"
"4","f49293a3",11,"asian"
"5","f49293a3",5,"limited_english"
"6","f49293a3",38,"special_education"
"7","f49293a3",16,"multi_racial"
"8","f49293a3",1,"hawaiian"
"9","f49293a3",38,"other_na"
"10","f49293a3",122,"white"
"11","f49293a3",2,"native_american"
"12","47e41ab6",274,"asian"
"13","47e41ab6",21,"limited_english"
"14","47e41ab6",109,"special_education"
"15","47e41ab6",563,"hispanic"
"16","47e41ab6",751,"white"
"17","47e41ab6",728,"reduced_lunch"
"18","47e41ab6",6,"native_american"
"19","47e41ab6",229,"black"
"20","47e41ab6",1,"other_na"
"21","47e41ab6",79,"multi_racial"
"22","47e41ab6",11,"hawaiian"
"23","c0119cbc",8,"other_na"
"24","a63be41f",8,"other_na"
"25","96e938e9",8,"other_na"
"26","91238f6b",8,"other_na"
"27","c0119cbc",150,"white"
"28","a63be41f",150,"white"
"29","96e938e9",150,"white"
"30","91238f6b",150,"white"
"31","c0119cbc",11,"hawaiian"
"32","a63be41f",11,"hawaiian"
"33","96e938e9",11,"hawaiian"
"34","91238f6b",11,"hawaiian"
"35","c0119cbc",1133,"reduced_lunch"
"36","a63be41f",1133,"reduced_lunch"
"37","96e938e9",1133,"reduced_lunch"
"38","91238f6b",1133,"reduced_lunch"
"39","c0119cbc",34,"multi_racial"
"40","a63be41f",34,"multi_racial"
"41","96e938e9",34,"multi_racial"
"42","91238f6b",34,"multi_racial"
"43","c0119cbc",189,"special_education"
"44","a63be41f",189,"special_education"
"45","96e938e9",189,"special_education"
"46","91238f6b",189,"special_education"
"47","c0119cbc",594,"hispanic"
"48","a63be41f",594,"hispanic"
"49","96e938e9",594,"hispanic"
"50","91238f6b",594,"hispanic"
"51","c0119cbc",359,"black"
"52","a63be41f",359,"black"
"53","96e938e9",359,"black"
"54","91238f6b",359,"black"
"55","c0119cbc",7,"native_american"
"56","a63be41f",7,"native_american"
"57","96e938e9",7,"native_american"
"58","91238f6b",7,"native_american"
"59","c0119cbc",270,"limited_english"
"60","a63be41f",270,"limited_english"
"61","96e938e9",270,"limited_english"
"62","91238f6b",270,"limited_english"
"63","c0119cbc",257,"asian"
"64","a63be41f",257,"asian"
"65","96e938e9",257,"asian"
"66","91238f6b",257,"asian"
"67","fcf08c45",77,"limited_english"
"68","fcf08c45",1112,"reduced_lunch"
"69","fcf08c45",189,"special_education"
"70","fcf08c45",3,"hawaiian"
"71","fcf08c45",10,"native_american"
"72","fcf08c45",256,"asian"
"73","fcf08c45",697,"hispanic"
"74","fcf08c45",5,"other_na"
"75","fcf08c45",80,"multi_racial"
"76","fcf08c45",450,"black"
